entrega_id,pedido_id,transportadora,codigo_rastreio,status,previsao_entrega,enviado_em,entregue_em
1,2,Jadlog,TNBR000000002,ENTREGUE,2025-11-30,2025-11-27 21:30:00,2025-11-30 14:00:00
2,5,Total Express,TNBR000000005,ENTREGUE,2026-06-08,2026-06-03 20:52:00,2026-06-08 14:00:00
3,6,Correios,TNBR000000006,ENTREGUE,2025-11-09,2025-11-05 08:27:00,2025-11-09 13:00:00
4,8,Loggi,TNBR000000008,ENTREGUE,2025-05-27,2025-05-23 15:38:00,2025-05-27 15:00:00
5,9,Jadlog,TNBR000000009,ENTREGUE,2026-05-16,2026-05-09 21:02:00,2026-05-16 11:00:00
6,10,Total Express,TNBR000000010,ENTREGUE,2025-06-04,2025-06-01 11:34:00,2025-06-04 10:00:00
7,11,Correios,TNBR000000011,ENTREGUE,2025-03-23,2025-03-20 21:20:00,2025-03-23 10:00:00
8,14,Total Express,TNBR000000014,EM_TRANSITO,2025-11-19,2025-11-13 17:25:00,
9,15,Total Express,TNBR000000015,EM_TRANSITO,2025-02-25,2025-02-22 14:47:00,
10,16,Total Express,TNBR000000016,ENTREGUE,2025-03-12,2025-03-08 15:50:00,2025-03-12 11:00:00
11,18,Correios,TNBR000000018,EM_TRANSITO,2025-04-05,2025-03-28 13:41:00,
12,20,Jadlog,TNBR000000020,ENTREGUE,2025-06-18,2025-06-11 18:09:00,2025-06-18 11:00:00
13,21,Correios,TNBR000000021,ENTREGUE,2025-12-04,2025-11-29 08:55:00,2025-12-04 12:00:00
14,22,Correios,TNBR000000022,ENTREGUE,2025-10-12,2025-10-09 21:43:00,2025-10-12 17:00:00
15,24,Loggi,TNBR000000024,ENTREGUE,2025-02-20,2025-02-14 18:01:00,2025-02-20 15:00:00
16,25,Jadlog,TNBR000000025,ENTREGUE,2025-12-28,2025-12-22 09:15:00,2025-12-28 18:00:00
17,26,Jadlog,TNBR000000026,ENTREGUE,2025-07-01,2025-06-26 11:13:00,2025-07-01 16:00:00
18,28,Loggi,TNBR000000028,ENTREGUE,2025-01-27,2025-01-19 10:05:00,2025-01-27 17:00:00
19,30,Loggi,TNBR000000030,EM_TRANSITO,2026-01-22,2026-01-14 09:38:00,
20,31,Correios,TNBR000000031,ENTREGUE,2026-01-10,2026-01-05 08:23:00,2026-01-10 18:00:00
21,32,Jadlog,TNBR000000032,ENTREGUE,2025-04-17,2025-04-12 08:43:00,2025-04-17 13:00:00
22,33,Total Express,TNBR000000033,EM_TRANSITO,2025-03-13,2025-03-10 08:15:00,
23,43,Loggi,TNBR000000043,ENTREGUE,2026-03-31,2026-03-23 19:58:00,2026-03-31 17:00:00
24,46,Correios,TNBR000000046,ENTREGUE,2026-01-23,2026-01-18 19:04:00,2026-01-23 13:00:00
25,48,Loggi,TNBR000000048,ENTREGUE,2025-06-25,2025-06-17 19:06:00,2025-06-25 11:00:00
26,49,Loggi,TNBR000000049,ENTREGUE,2025-06-19,2025-06-14 20:23:00,2025-06-19 17:00:00
27,50,Loggi,TNBR000000050,ENTREGUE,2025-09-06,2025-09-03 11:44:00,2025-09-06 12:00:00
28,51,Total Express,TNBR000000051,ENTREGUE,2025-06-03,2025-05-30 15:53:00,2025-06-03 16:00:00
29,52,Total Express,TNBR000000052,ENTREGUE,2026-04-03,2026-03-29 19:40:00,2026-04-03 14:00:00
30,55,Correios,TNBR000000055,ENTREGUE,2026-02-18,2026-02-16 08:43:00,2026-02-18 14:00:00
31,56,Correios,TNBR000000056,ENTREGUE,2026-05-17,2026-05-15 18:22:00,2026-05-17 11:00:00
32,58,Jadlog,TNBR000000058,ENTREGUE,2026-06-02,2026-05-30 18:37:00,2026-06-02 12:00:00
33,59,Total Express,TNBR000000059,ENTREGUE,2025-04-17,2025-04-13 13:27:00,2025-04-17 11:00:00
34,60,Correios,TNBR000000060,ENTREGUE,2026-01-04,2025-12-30 21:27:00,2026-01-04 14:00:00
35,61,Total Express,TNBR000000061,ENTREGUE,2025-10-08,2025-10-04 21:23:00,2025-10-08 13:00:00
36,62,Correios,TNBR000000062,ENTREGUE,2025-05-20,2025-05-14 15:57:00,2025-05-20 10:00:00
37,63,Total Express,TNBR000000063,ENTREGUE,2025-04-05,2025-04-03 09:47:00,2025-04-05 14:00:00
38,65,Total Express,TNBR000000065,ENTREGUE,2025-11-16,2025-11-11 13:22:00,2025-11-16 17:00:00
