estoque_id,produto_id,centro_id,quantidade,reservado,ponto_reposicao,atualizado_em
1,1,1,52,0,15,2026-06-30 18:00:00
2,1,2,22,2,8,2026-06-30 18:00:00
3,1,3,52,3,15,2026-06-30 18:00:00
4,2,1,21,0,15,2026-06-30 18:00:00
5,2,2,36,3,8,2026-06-30 18:00:00
6,2,3,33,0,20,2026-06-30 18:00:00
7,3,1,30,3,15,2026-06-30 18:00:00
8,3,2,49,1,10,2026-06-30 18:00:00
9,3,3,20,0,8,2026-06-30 18:00:00
10,4,1,38,1,20,2026-06-30 18:00:00
11,4,2,56,0,20,2026-06-30 18:00:00
12,4,3,30,0,8,2026-06-30 18:00:00
13,5,1,25,0,15,2026-06-30 18:00:00
14,5,2,67,0,15,2026-06-30 18:00:00
15,5,3,43,1,20,2026-06-30 18:00:00
16,6,1,56,0,10,2026-06-30 18:00:00
17,6,2,68,2,12,2026-06-30 18:00:00
18,6,3,54,1,20,2026-06-30 18:00:00
19,7,1,61,0,15,2026-06-30 18:00:00
20,7,2,33,0,15,2026-06-30 18:00:00
21,7,3,32,2,20,2026-06-30 18:00:00
22,8,1,18,0,10,2026-06-30 18:00:00
23,8,2,54,3,8,2026-06-30 18:00:00
24,8,3,18,1,15,2026-06-30 18:00:00
25,9,1,52,1,8,2026-06-30 18:00:00
26,9,2,33,1,20,2026-06-30 18:00:00
27,9,3,52,0,15,2026-06-30 18:00:00
28,10,1,27,0,8,2026-06-30 18:00:00
29,10,2,48,1,12,2026-06-30 18:00:00
30,10,3,30,2,10,2026-06-30 18:00:00
31,11,1,38,0,20,2026-06-30 18:00:00
32,11,2,10,1,15,2026-06-30 18:00:00
33,11,3,34,0,10,2026-06-30 18:00:00
34,12,1,68,3,8,2026-06-30 18:00:00
35,12,2,47,0,12,2026-06-30 18:00:00
36,12,3,66,3,15,2026-06-30 18:00:00
37,13,1,40,2,12,2026-06-30 18:00:00
38,13,2,9,2,20,2026-06-30 18:00:00
39,13,3,18,0,12,2026-06-30 18:00:00
