historico_id,pedido_id,status_anterior,status_novo,observacao,alterado_em
1,1,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-03-24 10:50:00
2,2,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-11-25 21:30:00
3,2,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-11-26 15:30:00
4,2,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-11-27 09:30:00
5,2,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-11-28 03:30:00
6,2,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-11-28 21:30:00
7,3,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-04-03 15:32:00
8,3,PENDENTE_PAGAMENTO,CANCELADO,Avanço do fluxo do pedido,2026-04-04 09:32:00
9,4,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-05-06 18:25:00
10,4,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-05-07 12:25:00
11,5,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-06-01 20:52:00
12,5,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-06-02 14:52:00
13,5,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2026-06-03 08:52:00
14,5,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2026-06-04 02:52:00
15,5,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2026-06-04 20:52:00
16,6,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-11-03 08:27:00
17,6,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-11-04 02:27:00
18,6,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-11-04 20:27:00
19,6,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-11-05 14:27:00
20,6,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-11-06 08:27:00
21,7,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-01-16 11:52:00
22,7,PENDENTE_PAGAMENTO,CANCELADO,Avanço do fluxo do pedido,2026-01-17 05:52:00
23,8,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-05-20 15:38:00
24,8,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-05-21 09:38:00
25,8,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-05-22 03:38:00
26,8,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-05-22 21:38:00
27,8,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-05-23 15:38:00
28,9,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-05-07 21:02:00
29,9,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-05-08 15:02:00
30,9,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2026-05-09 09:02:00
31,9,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2026-05-10 03:02:00
32,9,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2026-05-10 21:02:00
33,10,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-05-31 11:34:00
34,10,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-06-01 05:34:00
35,10,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-06-01 23:34:00
36,10,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-06-02 17:34:00
37,10,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-06-03 11:34:00
38,11,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-03-19 21:20:00
39,11,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-03-20 15:20:00
40,11,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-03-21 09:20:00
41,11,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-03-22 03:20:00
42,11,ENVIADO,ENTREGUE,Avanço do fluxo do pedido,2025-03-22 21:20:00
43,12,,PENDENTE_PAGAMENTO,Carga inicial didática,2026-02-12 18:02:00
44,12,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2026-02-13 12:02:00
45,12,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2026-02-14 06:02:00
46,13,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-10-23 21:40:00
47,13,PENDENTE_PAGAMENTO,CANCELADO,Avanço do fluxo do pedido,2025-10-24 15:40:00
48,14,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-11-11 17:25:00
49,14,PENDENTE_PAGAMENTO,PAGAMENTO_APROVADO,Avanço do fluxo do pedido,2025-11-12 11:25:00
50,14,PAGAMENTO_APROVADO,EM_SEPARACAO,Avanço do fluxo do pedido,2025-11-13 05:25:00
51,14,EM_SEPARACAO,ENVIADO,Avanço do fluxo do pedido,2025-11-13 23:25:00
52,15,,PENDENTE_PAGAMENTO,Carga inicial didática,2025-02-19 14:47:00
