item_id,pedido_id,produto_id,centro_id,quantidade,preco_unitario,percentual_desconto,subtotal
1,1,29,3,1,99.90,0.00,99.90
2,1,28,1,1,1399.90,8.00,1287.91
3,1,38,2,1,349.90,0.00,349.90
4,2,41,1,3,189.90,10.00,512.73
5,2,19,1,2,289.90,0.00,579.80
6,2,42,1,1,1299.90,8.00,1195.91
7,3,19,2,2,289.90,0.00,579.80
8,4,26,3,2,459.90,0.00,919.80
9,4,21,2,1,2999.90,10.00,2699.91
10,5,23,3,3,1699.90,0.00,5099.70
11,5,42,3,1,1299.90,8.00,1195.91
12,5,51,3,2,349.90,0.00,699.80
13,5,49,3,2,1099.90,8.00,2023.82
14,6,43,3,1,179.90,8.00,165.51
15,6,21,1,2,2999.90,0.00,5999.80
16,6,17,3,3,429.90,0.00,1289.70
17,7,40,1,1,599.90,0.00,599.90
18,7,38,2,3,349.90,0.00,1049.70
19,7,51,2,1,349.90,8.00,321.91
20,7,33,3,1,119.90,0.00,119.90
21,8,38,3,2,349.90,0.00,699.80
22,8,10,1,3,129.90,10.00,350.73
23,9,38,3,2,349.90,0.00,699.80
24,10,24,3,1,499.90,0.00,499.90
25,10,29,3,2,99.90,8.00,183.82
26,10,35,1,2,299.90,5.00,569.81
27,11,14,3,3,1599.90,0.00,4799.70
28,11,32,3,1,159.90,0.00,159.90
29,11,42,3,1,1299.90,0.00,1299.90
30,12,60,2,2,39.90,0.00,79.80
31,12,41,1,2,189.90,0.00,379.80
32,12,32,3,2,159.90,0.00,319.80
33,13,56,2,3,159.90,0.00,479.70
34,13,6,2,2,6799.90,0.00,13599.80
35,13,9,3,3,69.90,8.00,192.92
36,14,56,1,1,159.90,5.00,151.91
37,14,25,1,1,399.90,0.00,399.90
38,14,14,1,1,1599.90,0.00,1599.90
39,14,57,1,2,229.90,0.00,459.80
40,15,54,3,1,2799.90,0.00,2799.90
41,16,23,2,3,1699.90,8.00,4691.72
42,17,29,1,1,99.90,10.00,89.91
43,18,31,2,2,79.90,8.00,147.02
44,18,36,3,2,139.90,0.00,279.80
45,18,5,1,1,1799.90,0.00,1799.90
46,18,54,1,2,2799.90,8.00,5151.82
47,19,39,3,2,799.90,0.00,1599.80
48,19,57,2,1,229.90,0.00,229.90
49,19,33,2,3,119.90,8.00,330.92
50,20,56,3,2,159.90,0.00,319.80
51,21,40,3,1,599.90,8.00,551.91
52,21,43,2,1,179.90,0.00,179.90
53,22,35,3,2,299.90,8.00,551.82
54,23,51,1,1,349.90,0.00,349.90
55,24,8,3,1,1999.90,0.00,1999.90
56,25,48,1,2,429.90,5.00,816.81
57,25,52,3,1,999.90,0.00,999.90
58,25,50,2,1,2899.90,0.00,2899.90
59,25,6,3,1,6799.90,0.00,6799.90
60,26,7,3,1,4299.90,0.00,4299.90
61,26,28,3,1,1399.90,0.00,1399.90
62,27,26,1,1,459.90,0.00,459.90
63,27,6,2,2,6799.90,8.00,12511.82
64,27,34,2,1,499.90,5.00,474.91
65,27,5,2,1,1799.90,10.00,1619.91
66,28,45,1,3,299.90,0.00,899.70
67,28,50,3,2,2899.90,8.00,5335.82
68,29,18,3,1,249.90,0.00,249.90
69,29,37,2,1,229.90,0.00,229.90
70,29,31,2,1,79.90,5.00,75.91
71,30,53,2,2,1599.90,0.00,3199.80
72,30,37,2,2,229.90,10.00,413.82
73,30,47,2,1,899.90,0.00,899.90
74,31,29,3,1,99.90,8.00,91.91
75,32,37,1,3,229.90,0.00,689.70
76,32,43,3,1,179.90,5.00,170.91
77,33,10,3,1,129.90,8.00,119.51
78,33,36,2,3,139.90,0.00,419.70
79,34,48,1,1,429.90,0.00,429.90
80,34,54,1,1,2799.90,5.00,2659.91
81,35,46,3,2,549.90,0.00,1099.80
82,35,37,1,1,229.90,0.00,229.90
83,35,22,3,3,4499.90,10.00,12149.73
84,36,25,3,2,399.90,0.00,799.80
85,36,1,2,3,2899.90,0.00,8699.70
86,37,57,2,1,229.90,5.00,218.41
87,37,24,2,3,499.90,10.00,1349.73
88,38,17,3,1,429.90,0.00,429.90
89,38,40,1,3,599.90,0.00,1799.70
90,38,44,1,2,999.90,0.00,1999.80
91,39,48,3,2,429.90,0.00,859.80
92,40,54,3,2,2799.90,0.00,5599.80
93,40,45,2,3,299.90,0.00,899.70
94,40,25,2,1,399.90,5.00,379.91
95,40,49,1,2,1099.90,0.00,2199.80
96,41,23,2,3,1699.90,5.00,4844.72
97,42,35,2,3,299.90,0.00,899.70
98,42,9,1,1,69.90,10.00,62.91
99,42,41,3,1,189.90,8.00,174.71
100,43,28,2,2,1399.90,8.00,2575.82
101,44,27,3,1,149.90,0.00,149.90
102,44,19,2,3,289.90,0.00,869.70
103,45,43,3,2,179.90,5.00,341.81
104,46,17,2,2,429.90,0.00,859.80
105,46,11,3,3,349.90,10.00,944.73
106,46,24,1,2,499.90,0.00,999.80
107,46,26,3,2,459.90,5.00,873.81
108,47,32,3,2,159.90,0.00,319.80
109,47,46,1,3,549.90,0.00,1649.70
110,47,35,2,1,299.90,10.00,269.91
111,48,5,2,3,1799.90,0.00,5399.70
112,48,56,3,1,159.90,0.00,159.90
113,48,8,1,2,1999.90,5.00,3799.81
114,48,33,3,2,119.90,10.00,215.82
115,49,41,3,1,189.90,0.00,189.90
116,50,58,3,1,59.90,10.00,53.91
117,50,33,3,2,119.90,5.00,227.81
118,51,60,3,1,39.90,0.00,39.90
119,51,12,3,1,189.90,0.00,189.90
120,52,31,1,3,79.90,0.00,239.70
121,53,30,2,1,329.90,5.00,313.41
122,53,13,2,1,899.90,10.00,809.91
123,54,18,1,3,249.90,8.00,689.72
124,55,22,1,2,4499.90,0.00,8999.80
125,56,60,1,1,39.90,0.00,39.90
126,56,43,1,2,179.90,5.00,341.81
127,56,39,2,2,799.90,10.00,1439.82
128,57,8,3,1,1999.90,0.00,1999.90
129,58,50,3,1,2899.90,5.00,2754.91
130,58,54,1,1,2799.90,5.00,2659.91
131,58,40,3,1,599.90,0.00,599.90
132,59,14,3,2,1599.90,8.00,2943.82
133,59,8,2,1,1999.90,8.00,1839.91
134,59,1,2,2,2899.90,0.00,5799.80
135,59,42,3,1,1299.90,5.00,1234.91
136,60,20,1,2,1199.90,0.00,2399.80
137,61,5,2,1,1799.90,0.00,1799.90
138,61,17,3,3,429.90,0.00,1289.70
139,61,50,3,1,2899.90,10.00,2609.91
140,61,15,2,2,249.90,0.00,499.80
141,62,6,1,1,6799.90,10.00,6119.91
142,62,4,3,1,5499.90,0.00,5499.90
143,62,45,3,2,299.90,5.00,569.81
144,63,18,1,3,249.90,8.00,689.72
145,63,27,1,2,149.90,8.00,275.82
146,63,25,1,2,399.90,0.00,799.80
147,64,54,2,3,2799.90,5.00,7979.72
148,64,57,3,3,229.90,5.00,655.22
149,64,17,1,2,429.90,0.00,859.80
150,65,15,3,1,249.90,5.00,237.41
151,65,40,1,1,599.90,8.00,551.91
152,65,29,3,2,99.90,8.00,183.82
153,66,20,1,1,1199.90,5.00,1139.91
154,66,45,1,1,299.90,5.00,284.91
155,67,10,3,1,129.90,10.00,116.91
156,67,41,1,1,189.90,8.00,174.71
157,67,27,3,2,149.90,10.00,269.82
158,68,40,3,2,599.90,0.00,1199.80
159,68,28,3,3,1399.90,10.00,3779.73
160,68,38,2,2,349.90,10.00,629.82
161,68,59,1,1,89.90,5.00,85.41
162,69,5,1,1,1799.90,10.00,1619.91
163,69,47,3,1,899.90,10.00,809.91
164,70,56,2,3,159.90,5.00,455.72
165,70,34,1,2,499.90,8.00,919.82
166,70,33,3,1,119.90,0.00,119.90
167,70,39,1,1,799.90,10.00,719.91
168,71,14,1,2,1599.90,0.00,3199.80
169,71,6,3,2,6799.90,8.00,12511.82
170,72,6,3,1,6799.90,8.00,6255.91
171,72,32,3,2,159.90,5.00,303.81
172,72,24,3,1,499.90,8.00,459.91
173,72,55,1,1,1199.90,0.00,1199.90
174,73,55,2,1,1199.90,10.00,1079.91
175,73,25,1,2,399.90,0.00,799.80
176,73,41,1,2,189.90,8.00,349.42
177,73,27,2,1,149.90,0.00,149.90
178,74,18,3,2,249.90,0.00,499.80
179,74,19,3,1,289.90,10.00,260.91
180,74,15,1,1,249.90,5.00,237.41
181,75,43,3,2,179.90,5.00,341.81
182,75,11,3,1,349.90,10.00,314.91
183,75,4,1,3,5499.90,0.00,16499.70
184,76,10,3,1,129.90,0.00,129.90
185,76,59,1,1,89.90,5.00,85.41
186,77,19,1,1,289.90,0.00,289.90
187,77,35,3,1,299.90,0.00,299.90
188,77,33,2,1,119.90,0.00,119.90
189,77,17,2,1,429.90,8.00,395.51
190,78,26,2,2,459.90,0.00,919.80
191,78,24,2,3,499.90,0.00,1499.70
192,79,49,1,1,1099.90,0.00,1099.90
193,80,34,1,2,499.90,0.00,999.80
194,80,42,3,1,1299.90,0.00,1299.90
195,81,21,3,1,2999.90,10.00,2699.91
196,82,25,3,1,399.90,10.00,359.91
197,83,23,3,2,1699.90,0.00,3399.80
198,84,29,2,2,99.90,0.00,199.80
199,85,51,3,1,349.90,0.00,349.90
200,85,38,1,1,349.90,0.00,349.90
201,86,25,1,2,399.90,5.00,759.81
202,86,7,2,2,4299.90,10.00,7739.82
203,86,58,3,1,59.90,0.00,59.90
204,86,13,3,1,899.90,0.00,899.90
205,87,6,3,2,6799.90,0.00,13599.80
206,87,21,2,1,2999.90,0.00,2999.90
207,87,2,3,2,3799.90,0.00,7599.80
208,87,35,1,1,299.90,10.00,269.91
209,88,60,1,1,39.90,0.00,39.90
210,89,42,1,3,1299.90,8.00,3587.72
211,89,59,1,1,89.90,0.00,89.90
212,89,40,3,2,599.90,0.00,1199.80
213,90,30,2,3,329.90,0.00,989.70
214,90,20,1,2,1199.90,0.00,2399.80
215,90,44,2,2,999.90,0.00,1999.80
216,91,18,2,2,249.90,0.00,499.80
217,91,11,3,2,349.90,10.00,629.82
218,91,54,1,1,2799.90,10.00,2519.91
219,91,15,1,1,249.90,10.00,224.91
220,92,42,1,2,1299.90,0.00,2599.80
221,93,11,2,3,349.90,8.00,965.72
222,94,53,2,2,1599.90,0.00,3199.80
223,94,7,1,1,4299.90,0.00,4299.90
224,95,22,2,1,4499.90,10.00,4049.91
225,96,14,3,1,1599.90,10.00,1439.91
226,97,34,3,2,499.90,10.00,899.82
227,98,55,2,2,1199.90,0.00,2399.80
228,98,56,1,1,159.90,0.00,159.90
229,98,22,2,2,4499.90,0.00,8999.80
230,98,51,1,2,349.90,0.00,699.80
231,99,23,1,1,1699.90,8.00,1563.91
232,99,50,2,1,2899.90,8.00,2667.91
233,100,34,1,1,499.90,0.00,499.90
234,101,44,1,1,999.90,0.00,999.90
235,102,5,1,1,1799.90,8.00,1655.91
236,102,38,2,2,349.90,10.00,629.82
237,102,1,2,2,2899.90,0.00,5799.80
238,103,34,2,1,499.90,0.00,499.90
239,104,59,2,2,89.90,8.00,165.42
240,104,5,1,1,1799.90,0.00,1799.90
241,104,1,2,1,2899.90,8.00,2667.91
242,104,54,3,1,2799.90,0.00,2799.90
243,105,27,3,2,149.90,0.00,299.80
244,105,38,1,1,349.90,8.00,321.91
245,105,35,2,1,299.90,10.00,269.91
246,105,7,2,1,4299.90,0.00,4299.90
247,106,9,3,1,69.90,0.00,69.90
248,107,27,2,1,149.90,10.00,134.91
249,107,23,1,3,1699.90,0.00,5099.70
250,108,32,3,2,159.90,0.00,319.80
251,108,7,2,1,4299.90,0.00,4299.90
252,108,52,3,1,999.90,0.00,999.90
253,109,43,3,2,179.90,10.00,323.82
254,110,41,2,1,189.90,8.00,174.71
255,110,19,3,2,289.90,10.00,521.82
256,110,22,1,2,4499.90,5.00,8549.81
257,111,26,1,1,459.90,10.00,413.91
258,111,2,1,1,3799.90,10.00,3419.91
259,111,41,1,2,189.90,5.00,360.81
260,112,19,3,3,289.90,8.00,800.12
261,112,13,3,2,899.90,0.00,1799.80
262,112,20,2,2,1199.90,0.00,2399.80
263,113,52,3,1,999.90,0.00,999.90
264,113,56,1,1,159.90,0.00,159.90
265,114,47,3,3,899.90,5.00,2564.72
266,114,3,1,1,2199.90,8.00,2023.91
267,115,50,1,1,2899.90,0.00,2899.90
268,115,17,2,1,429.90,8.00,395.51
269,115,14,2,1,1599.90,0.00,1599.90
270,115,45,3,1,299.90,10.00,269.91
271,116,34,3,2,499.90,0.00,999.80
272,116,10,1,2,129.90,8.00,239.02
273,116,57,1,2,229.90,0.00,459.80
274,116,22,3,3,4499.90,5.00,12824.72
275,117,10,2,2,129.90,0.00,259.80
276,117,44,3,1,999.90,5.00,949.91
277,117,49,3,1,1099.90,0.00,1099.90
278,117,3,1,2,2199.90,8.00,4047.82
279,118,58,1,3,59.90,10.00,161.73
280,118,7,2,2,4299.90,5.00,8169.81
281,118,22,2,2,4499.90,8.00,8279.82
282,118,11,3,3,349.90,0.00,1049.70
283,119,16,1,3,299.90,0.00,899.70
284,119,50,3,2,2899.90,0.00,5799.80
285,120,58,1,3,59.90,8.00,165.32
286,120,15,3,3,249.90,10.00,674.73
