movimentacao_id,produto_id,centro_id,tipo,quantidade,referencia,criado_em
1,1,1,ENTRADA_INICIAL,52,SALDO-ABERTURA-2025,2025-01-01 08:00:00
2,1,2,ENTRADA_INICIAL,30,SALDO-ABERTURA-2025,2025-01-01 08:00:00
3,1,3,ENTRADA_INICIAL,52,SALDO-ABERTURA-2025,2025-01-01 08:00:00
4,2,1,ENTRADA_INICIAL,22,SALDO-ABERTURA-2025,2025-01-01 08:00:00
5,2,2,ENTRADA_INICIAL,36,SALDO-ABERTURA-2025,2025-01-01 08:00:00
6,2,3,ENTRADA_INICIAL,35,SALDO-ABERTURA-2025,2025-01-01 08:00:00
7,3,1,ENTRADA_INICIAL,31,SALDO-ABERTURA-2025,2025-01-01 08:00:00
8,3,2,ENTRADA_INICIAL,49,SALDO-ABERTURA-2025,2025-01-01 08:00:00
9,3,3,ENTRADA_INICIAL,20,SALDO-ABERTURA-2025,2025-01-01 08:00:00
10,4,1,ENTRADA_INICIAL,41,SALDO-ABERTURA-2025,2025-01-01 08:00:00
11,4,2,ENTRADA_INICIAL,56,SALDO-ABERTURA-2025,2025-01-01 08:00:00
12,4,3,ENTRADA_INICIAL,31,SALDO-ABERTURA-2025,2025-01-01 08:00:00
13,5,1,ENTRADA_INICIAL,28,SALDO-ABERTURA-2025,2025-01-01 08:00:00
14,5,2,ENTRADA_INICIAL,71,SALDO-ABERTURA-2025,2025-01-01 08:00:00
15,5,3,ENTRADA_INICIAL,43,SALDO-ABERTURA-2025,2025-01-01 08:00:00
16,6,1,ENTRADA_INICIAL,57,SALDO-ABERTURA-2025,2025-01-01 08:00:00
17,6,2,ENTRADA_INICIAL,68,SALDO-ABERTURA-2025,2025-01-01 08:00:00
18,6,3,ENTRADA_INICIAL,60,SALDO-ABERTURA-2025,2025-01-01 08:00:00
19,7,1,ENTRADA_INICIAL,62,SALDO-ABERTURA-2025,2025-01-01 08:00:00
20,7,2,ENTRADA_INICIAL,39,SALDO-ABERTURA-2025,2025-01-01 08:00:00
21,7,3,ENTRADA_INICIAL,33,SALDO-ABERTURA-2025,2025-01-01 08:00:00
22,8,1,ENTRADA_INICIAL,20,SALDO-ABERTURA-2025,2025-01-01 08:00:00
23,8,2,ENTRADA_INICIAL,55,SALDO-ABERTURA-2025,2025-01-01 08:00:00
24,8,3,ENTRADA_INICIAL,20,SALDO-ABERTURA-2025,2025-01-01 08:00:00
25,9,1,ENTRADA_INICIAL,53,SALDO-ABERTURA-2025,2025-01-01 08:00:00
26,9,2,ENTRADA_INICIAL,33,SALDO-ABERTURA-2025,2025-01-01 08:00:00
27,9,3,ENTRADA_INICIAL,53,SALDO-ABERTURA-2025,2025-01-01 08:00:00
28,10,1,ENTRADA_INICIAL,32,SALDO-ABERTURA-2025,2025-01-01 08:00:00
29,10,2,ENTRADA_INICIAL,48,SALDO-ABERTURA-2025,2025-01-01 08:00:00
30,10,3,ENTRADA_INICIAL,33,SALDO-ABERTURA-2025,2025-01-01 08:00:00
