pagamento_id,pedido_id,metodo,parcelas,valor,status,codigo_transacao,processado_em
1,1,BOLETO,1,1762.61,PENDENTE,TXN-00001-P,
2,2,CARTAO_DEBITO,1,2313.34,APROVADO,TXN-00002-A,2025-11-25 22:37:00
3,3,BOLETO,1,512.73,RECUSADO,TXN-00003-R,2026-04-03 15:47:00
4,4,PIX,1,3076.75,APROVADO,TXN-00004-A,2025-05-06 19:44:00
5,5,PIX,1,9019.23,APROVADO,TXN-00005-A,2026-06-01 22:48:00
6,6,CARTAO_CREDITO,1,6709.51,APROVADO,TXN-00006-A,2025-11-03 10:14:00
7,7,PIX,1,2026.31,RECUSADO,TXN-00007-R,2026-01-16 12:07:00
8,8,CARTAO_DEBITO,1,1035.43,APROVADO,TXN-00008-A,2025-05-20 16:21:00
9,9,CARTAO_CREDITO,2,714.70,APROVADO,TXN-00009-A,2026-05-07 21:23:00
10,10,PIX,1,1223.43,APROVADO,TXN-00010-A,2025-05-31 13:13:00
11,11,BOLETO,1,6259.50,APROVADO,TXN-00011-A,2025-03-19 22:35:00
12,12,CARTAO_CREDITO,10,814.30,APROVADO,TXN-00012-A,2026-02-12 18:32:00
13,13,BOLETO,1,14272.42,RECUSADO,TXN-00013-R,2025-10-23 21:55:00
14,14,BOLETO,1,2480.93,APROVADO,TXN-00014-A,2025-11-11 18:14:00
15,15,CARTAO_DEBITO,1,2799.90,APROVADO,TXN-00015-A,2025-02-19 15:45:00
16,16,CARTAO_CREDITO,1,4691.72,APROVADO,TXN-00016-A,2025-03-07 17:22:00
17,17,BOLETO,1,139.81,APROVADO,TXN-00017-A,2025-03-24 20:43:00
18,18,BOLETO,1,7378.54,APROVADO,TXN-00018-A,2025-03-26 15:00:00
19,19,PIX,1,2077.49,PENDENTE,TXN-00019-P,
20,20,PIX,1,369.70,APROVADO,TXN-00020-A,2025-06-10 19:45:00
21,21,PIX,1,668.89,APROVADO,TXN-00021-A,2025-11-27 09:14:00
22,22,CARTAO_DEBITO,1,531.54,APROVADO,TXN-00022-A,2025-10-07 22:24:00
23,23,PIX,1,384.80,RECUSADO,TXN-00023-R,2025-09-04 11:14:00
24,24,CARTAO_CREDITO,1,2014.80,APROVADO,TXN-00024-A,2025-02-12 18:46:00
25,25,CARTAO_CREDITO,3,11436.51,APROVADO,TXN-00025-A,2025-12-19 10:54:00
26,26,CARTAO_CREDITO,10,5129.82,APROVADO,TXN-00026-A,2025-06-23 12:44:00
27,27,PIX,1,15066.54,RECUSADO,TXN-00027-R,2026-04-08 19:20:00
28,28,PIX,1,6235.52,APROVADO,TXN-00028-A,2025-01-17 11:32:00
29,29,PIX,1,570.61,PENDENTE,TXN-00029-P,
30,30,PIX,1,4287.84,APROVADO,TXN-00030-A,2026-01-12 10:43:00
31,31,BOLETO,1,111.81,APROVADO,TXN-00031-A,2026-01-02 08:53:00
32,32,CARTAO_DEBITO,1,895.51,APROVADO,TXN-00032-A,2025-04-09 09:58:00
33,33,CARTAO_CREDITO,6,554.11,APROVADO,TXN-00033-A,2025-03-07 10:06:00
34,34,BOLETO,1,2780.83,APROVADO,TXN-00034-A,2025-05-06 10:54:00
35,35,PIX,1,12805.46,PENDENTE,TXN-00035-P,
36,36,PIX,1,9499.50,APROVADO,TXN-00036-A,2025-01-09 14:54:00
37,37,PIX,1,1588.04,PENDENTE,TXN-00037-P,
38,38,CARTAO_CREDITO,1,4229.40,RECUSADO,TXN-00038-R,2025-03-24 18:35:00
39,39,BOLETO,1,879.70,PENDENTE,TXN-00039-P,
40,40,CARTAO_CREDITO,1,8999.21,RECUSADO,TXN-00040-R,2025-02-05 18:10:00
41,41,PIX,1,4844.72,PENDENTE,TXN-00041-P,
42,42,PIX,1,1152.22,PENDENTE,TXN-00042-P,
43,43,PIX,1,2575.82,APROVADO,TXN-00043-A,2026-03-20 20:59:00
44,44,PIX,1,1039.50,PENDENTE,TXN-00044-P,
45,45,PIX,1,341.71,APROVADO,TXN-00045-A,2026-04-08 15:58:00
46,46,PIX,1,3598.14,APROVADO,TXN-00046-A,2026-01-17 20:45:00
47,47,BOLETO,1,2264.31,APROVADO,TXN-00047-A,2025-01-25 21:54:00
48,48,CARTAO_DEBITO,1,9575.23,APROVADO,TXN-00048-A,2025-06-16 19:59:00
49,49,PIX,1,190.81,APROVADO,TXN-00049-A,2025-06-13 20:25:00
50,50,CARTAO_CREDITO,1,316.62,APROVADO,TXN-00050-A,2025-09-01 12:45:00
51,51,BOLETO,1,253.21,APROVADO,TXN-00051-A,2025-05-29 17:34:00
52,52,PIX,1,264.60,APROVADO,TXN-00052-A,2026-03-26 20:20:00
53,53,CARTAO_CREDITO,3,1158.22,APROVADO,TXN-00053-A,2026-03-10 08:50:00
54,54,BOLETO,1,684.62,PENDENTE,TXN-00054-P,
