pedido_id,cliente_id,endereco_entrega_id,status,subtotal,valor_desconto,valor_frete,valor_total,criado_em,atualizado_em
1,43,55,PENDENTE_PAGAMENTO,1737.71,0.00,24.90,1762.61,2026-03-24 10:50:00,2026-03-24 12:50:00
2,46,58,ENTREGUE,2288.44,0.00,24.90,2313.34,2025-11-25 21:30:00,2025-11-29 23:30:00
3,25,37,CANCELADO,579.80,86.97,19.90,512.73,2026-04-03 15:32:00,2026-04-04 17:32:00
4,17,29,PAGAMENTO_APROVADO,3619.71,542.96,0.00,3076.75,2025-05-06 18:25:00,2025-05-07 20:25:00
5,23,35,ENTREGUE,9019.23,0.00,0.00,9019.23,2026-06-01 20:52:00,2026-06-05 22:52:00
6,33,45,ENTREGUE,7455.01,745.50,0.00,6709.51,2025-11-03 08:27:00,2025-11-07 10:27:00
7,11,21,CANCELADO,2091.41,80.00,14.90,2026.31,2026-01-16 11:52:00,2026-01-17 13:52:00
8,23,35,ENTREGUE,1050.53,50.00,34.90,1035.43,2025-05-20 15:38:00,2025-05-24 17:38:00
9,14,26,ENTREGUE,699.80,0.00,14.90,714.70,2026-05-07 21:02:00,2026-05-11 23:02:00
10,6,11,ENTREGUE,1253.53,80.00,49.90,1223.43,2025-05-31 11:34:00,2025-06-04 13:34:00
11,5,9,ENTREGUE,6259.50,0.00,0.00,6259.50,2025-03-19 21:20:00,2025-03-23 23:20:00
12,15,27,EM_SEPARACAO,779.40,0.00,34.90,814.30,2026-02-12 18:02:00,2026-02-14 20:02:00
13,29,41,CANCELADO,14272.42,0.00,0.00,14272.42,2025-10-23 21:40:00,2025-10-24 23:40:00
14,13,25,ENVIADO,2611.51,130.58,0.00,2480.93,2025-11-11 17:25:00,2025-11-14 19:25:00
15,13,25,ENVIADO,2799.90,0.00,0.00,2799.90,2025-02-19 14:47:00,2025-02-22 16:47:00
16,36,48,ENTREGUE,4691.72,0.00,0.00,4691.72,2025-03-07 15:50:00,2025-03-11 17:50:00
17,50,62,EM_SEPARACAO,89.91,0.00,49.90,139.81,2025-03-24 20:08:00,2025-03-26 22:08:00
18,39,51,ENVIADO,7378.54,0.00,0.00,7378.54,2025-03-26 13:41:00,2025-03-29 15:41:00
19,10,19,PENDENTE_PAGAMENTO,2160.62,108.03,24.90,2077.49,2025-03-26 09:32:00,2025-03-26 11:32:00
20,25,37,ENTREGUE,319.80,0.00,49.90,369.70,2025-06-10 18:09:00,2025-06-14 20:09:00
21,25,37,ENTREGUE,731.81,87.82,24.90,668.89,2025-11-27 08:55:00,2025-12-01 10:55:00
22,1,1,ENTREGUE,551.82,55.18,34.90,531.54,2025-10-07 21:43:00,2025-10-11 23:43:00
23,1,1,CANCELADO,349.90,0.00,34.90,384.80,2025-09-04 10:59:00,2025-09-05 12:59:00
24,15,27,ENTREGUE,1999.90,0.00,14.90,2014.80,2025-02-12 18:01:00,2025-02-16 20:01:00
25,3,5,ENTREGUE,11516.51,80.00,0.00,11436.51,2025-12-19 09:15:00,2025-12-23 11:15:00
26,50,62,ENTREGUE,5699.80,569.98,0.00,5129.82,2025-06-23 11:13:00,2025-06-27 13:13:00
27,43,55,CANCELADO,15066.54,0.00,0.00,15066.54,2026-04-08 19:05:00,2026-04-09 21:05:00
28,21,33,ENTREGUE,6235.52,0.00,0.00,6235.52,2025-01-17 10:05:00,2025-01-21 12:05:00
29,32,44,PENDENTE_PAGAMENTO,555.71,0.00,14.90,570.61,2026-06-10 20:30:00,2026-06-10 22:30:00
30,31,43,ENVIADO,4513.52,225.68,0.00,4287.84,2026-01-12 09:38:00,2026-01-15 11:38:00
31,17,29,ENTREGUE,91.91,0.00,19.90,111.81,2026-01-02 08:23:00,2026-01-06 10:23:00
32,41,53,ENTREGUE,860.61,0.00,34.90,895.51,2025-04-09 08:43:00,2025-04-13 10:43:00
33,40,52,ENVIADO,539.21,0.00,14.90,554.11,2025-03-07 08:15:00,2025-03-10 10:15:00
34,8,15,PAGAMENTO_APROVADO,3089.81,308.98,0.00,2780.83,2025-05-06 09:31:00,2025-05-07 11:31:00
35,30,42,PENDENTE_PAGAMENTO,13479.43,673.97,0.00,12805.46,2026-03-07 14:22:00,2026-03-07 16:22:00
36,33,45,PAGAMENTO_APROVADO,9499.50,0.00,0.00,9499.50,2025-01-09 12:58:00,2025-01-10 14:58:00
37,12,23,PENDENTE_PAGAMENTO,1568.14,0.00,19.90,1588.04,2026-05-26 13:50:00,2026-05-26 15:50:00
38,29,41,CANCELADO,4229.40,0.00,0.00,4229.40,2025-03-24 18:20:00,2025-03-25 20:20:00
39,24,36,PENDENTE_PAGAMENTO,859.80,0.00,19.90,879.70,2025-05-27 09:37:00,2025-05-27 11:37:00
40,26,38,CANCELADO,9079.21,80.00,0.00,8999.21,2025-02-05 17:55:00,2025-02-06 19:55:00
41,40,52,PENDENTE_PAGAMENTO,4844.72,0.00,0.00,4844.72,2025-12-10 20:36:00,2025-12-10 22:36:00
42,20,32,PENDENTE_PAGAMENTO,1137.32,0.00,14.90,1152.22,2025-06-17 13:33:00,2025-06-17 15:33:00
43,19,31,ENTREGUE,2575.82,0.00,0.00,2575.82,2026-03-20 19:58:00,2026-03-24 21:58:00
44,35,47,PENDENTE_PAGAMENTO,1019.60,0.00,19.90,1039.50,2025-01-26 14:24:00,2025-01-26 16:24:00
45,24,36,PAGAMENTO_APROVADO,341.81,20.00,19.90,341.71,2026-04-08 14:09:00,2026-04-09 16:09:00
46,31,43,ENTREGUE,3678.14,80.00,0.00,3598.14,2026-01-17 19:04:00,2026-01-21 21:04:00
47,42,54,PAGAMENTO_APROVADO,2239.41,0.00,24.90,2264.31,2025-01-25 20:34:00,2025-01-26 22:34:00
48,14,26,ENTREGUE,9575.23,0.00,0.00,9575.23,2025-06-16 19:06:00,2025-06-20 21:06:00
49,42,54,ENTREGUE,189.90,18.99,19.90,190.81,2025-06-13 20:23:00,2025-06-17 22:23:00
50,15,27,ENTREGUE,281.72,0.00,34.90,316.62,2025-09-01 11:44:00,2025-09-05 13:44:00
51,40,52,ENTREGUE,229.80,11.49,34.90,253.21,2025-05-29 15:53:00,2025-06-02 17:53:00
52,31,43,ENTREGUE,239.70,0.00,24.90,264.60,2026-03-26 19:40:00,2026-03-30 21:40:00
53,46,58,PAGAMENTO_APROVADO,1123.32,0.00,34.90,1158.22,2026-03-10 08:45:00,2026-03-11 10:45:00
54,27,39,PENDENTE_PAGAMENTO,689.72,20.00,14.90,684.62,2025-01-28 18:10:00,2025-01-28 20:10:00
55,16,28,ENTREGUE,8999.80,0.00,0.00,8999.80,2026-02-14 08:43:00,2026-02-18 10:43:00
56,39,51,ENTREGUE,1821.53,273.23,49.90,1598.20,2026-05-13 18:22:00,2026-05-17 20:22:00
57,42,54,PAGAMENTO_APROVADO,1999.90,239.99,34.90,1794.81,2026-04-07 21:55:00,2026-04-08 23:55:00
58,50,62,ENTREGUE,6014.72,721.77,0.00,5292.95,2026-05-29 18:37:00,2026-06-02 20:37:00
59,41,53,ENTREGUE,11818.44,0.00,0.00,11818.44,2025-04-10 13:27:00,2025-04-14 15:27:00
60,2,3,ENTREGUE,2399.80,0.00,24.90,2424.70,2025-12-29 21:27:00,2026-01-02 23:27:00
61,26,38,ENTREGUE,6199.31,0.00,0.00,6199.31,2025-10-03 21:23:00,2025-10-07 23:23:00
62,15,27,ENTREGUE,12189.62,80.00,0.00,12109.62,2025-05-11 15:57:00,2025-05-15 17:57:00
63,12,23,ENTREGUE,1765.34,20.00,14.90,1760.24,2025-03-31 09:47:00,2025-04-04 11:47:00
64,28,40,PENDENTE_PAGAMENTO,9494.74,0.00,0.00,9494.74,2025-11-16 16:28:00,2025-11-16 18:28:00
65,5,9,ENTREGUE,973.14,0.00,19.90,993.04,2025-11-09 13:22:00,2025-11-13 15:22:00
66,6,11,EM_SEPARACAO,1424.82,0.00,34.90,1459.72,2026-03-07 08:07:00,2026-03-09 10:07:00
67,11,21,PAGAMENTO_APROVADO,561.44,0.00,34.90,596.34,2025-09-29 09:41:00,2025-09-30 11:41:00
68,20,32,EM_SEPARACAO,5694.76,0.00,0.00,5694.76,2025-08-29 09:02:00,2025-08-31 11:02:00
69,4,7,CANCELADO,2429.82,0.00,49.90,2479.72,2025-06-30 17:52:00,2025-07-01 19:52:00
70,21,33,ENVIADO,2215.35,0.00,49.90,2265.25,2026-06-18 13:25:00,2026-06-21 15:25:00
71,27,39,ENTREGUE,15711.62,785.58,0.00,14926.04,2025-12-31 20:02:00,2026-01-04 22:02:00
72,43,55,PAGAMENTO_APROVADO,8219.53,0.00,0.00,8219.53,2026-02-23 11:54:00,2026-02-24 13:54:00
73,44,56,PENDENTE_PAGAMENTO,2379.03,0.00,34.90,2413.93,2025-12-07 17:22:00,2025-12-07 19:22:00
74,47,59,CANCELADO,998.12,50.00,14.90,963.02,2025-09-01 12:54:00,2025-09-02 14:54:00
75,14,26,PENDENTE_PAGAMENTO,17156.42,0.00,0.00,17156.42,2025-02-24 19:50:00,2025-02-24 21:50:00
76,18,30,ENTREGUE,215.31,0.00,24.90,240.21,2026-03-23 11:57:00,2026-03-27 13:57:00
77,37,49,EM_SEPARACAO,1105.21,55.26,49.90,1099.85,2025-01-17 19:41:00,2025-01-19 21:41:00
78,49,61,PAGAMENTO_APROVADO,2419.50,290.34,49.90,2179.06,2025-04-26 18:03:00,2025-04-27 20:03:00
79,31,43,ENTREGUE,1099.90,55.00,24.90,1069.80,2025-11-26 19:59:00,2025-11-30 21:59:00
