pedido_id,cupom_id,valor_aplicado
3,3,86.97
4,3,542.96
6,1,745.50
7,7,80.00
8,5,50.00
10,7,80.00
14,6,130.58
19,6,108.03
21,4,87.82
22,1,55.18
25,7,80.00
26,1,569.98
30,6,225.68
34,1,308.98
35,6,673.97
40,7,80.00
45,2,20.00
46,7,80.00
49,1,18.99
51,6,11.49
54,2,20.00
56,3,273.23
57,4,239.99
58,4,721.77
62,7,80.00
63,2,20.00
71,6,785.58
74,5,50.00
77,6,55.26
78,4,290.34
79,6,55.00
80,1,229.97
81,6,135.00
84,1,19.98
87,4,2936.33
89,1,487.74
91,1,387.44
92,7,80.00
94,6,374.99
96,5,50.00
99,7,80.00
101,4,119.99
108,1,561.96
109,1,32.38
113,1,115.98
114,5,50.00
117,5,50.00
120,6,42.00
